iter	RMSE
0	3.415952156e-06
1	3.413364953e-06
2	3.410995919e-06
3	3.408578378e-06
4	3.406183825e-06
5	3.403981704e-06
6	3.401676901e-06
7	3.399287775e-06
8	3.396925273e-06
9	3.394611628e-06
10	3.392216494e-06
11	3.389931605e-06
12	3.387472768e-06
13	3.384994777e-06
14	3.382518929e-06
15	3.380009976e-06
16	3.37772436e-06
17	3.375284945e-06
18	3.372809651e-06
19	3.370329749e-06
20	3.367822835e-06
21	3.365404529e-06
22	3.363000131e-06
23	3.360666771e-06
24	3.3583115e-06
25	3.355861999e-06
26	3.353543328e-06
27	3.351158496e-06
28	3.348848702e-06
29	3.346302775e-06
30	3.344041908e-06
31	3.341822505e-06
32	3.339466831e-06
33	3.337362127e-06
34	3.334984695e-06
35	3.332820897e-06
36	3.330721354e-06
37	3.328268893e-06
38	3.325865164e-06
39	3.323633316e-06
40	3.321567152e-06
41	3.319198443e-06
42	3.316875918e-06
43	3.314807841e-06
44	3.312611442e-06
45	3.310306598e-06
46	3.307949034e-06
47	3.305438772e-06
48	3.302983525e-06
49	3.300812588e-06
50	3.298379446e-06
51	3.296034053e-06
52	3.293673055e-06
53	3.291670784e-06
54	3.289483807e-06
55	3.287175355e-06
56	3.284799373e-06
57	3.282363217e-06
58	3.280033381e-06
59	3.277573297e-06
60	3.275454658e-06
61	3.273038169e-06
62	3.27067174e-06
63	3.268340273e-06
64	3.266067331e-06
65	3.263705659e-06
66	3.261388259e-06
67	3.259041013e-06
68	3.256704433e-06
69	3.254299755e-06
70	3.252112076e-06
71	3.249681494e-06
72	3.24720715e-06
73	3.244946249e-06
74	3.242646961e-06
75	3.240413475e-06
76	3.238186573e-06
77	3.235865596e-06
78	3.233682799e-06
79	3.23142062e-06
80	3.229062808e-06
81	3.226914601e-06
82	3.22471623e-06
83	3.222509516e-06
84	3.220164313e-06
85	3.21790457e-06
86	3.215752991e-06
87	3.213629772e-06
88	3.211334758e-06
89	3.209158914e-06
90	3.207221973e-06
91	3.204908697e-06
92	3.202556093e-06
93	3.200292251e-06
94	3.19796689e-06
95	3.195800254e-06
96	3.193598776e-06
97	3.191356869e-06
98	3.18918508e-06
99	3.186949526e-06
100	3.184580114e-06
101	3.182189719e-06
102	3.18008575e-06
103	3.177921707e-06
104	3.175776864e-06
105	3.173531679e-06
106	3.17123183e-06
107	3.169050497e-06
108	3.166744385e-06
109	3.164485835e-06
110	3.162383874e-06
111	3.160140522e-06
112	3.15799858e-06
113	3.155802496e-06
114	3.153626007e-06
115	3.151408199e-06
116	3.149194206e-06
117	3.146889952e-06
118	3.144815124e-06
119	3.142534098e-06
120	3.140367952e-06
121	3.138242484e-06
122	3.136155883e-06
123	3.133873817e-06
124	3.131860228e-06
125	3.129572511e-06
126	3.12731357e-06
127	3.125334049e-06
128	3.123220321e-06
129	3.121021338e-06
130	3.118848834e-06
131	3.116760452e-06
132	3.11476835e-06
133	3.11265496e-06
134	3.110395687e-06
135	3.10832453e-06
136	3.106207745e-06
137	3.104263453e-06
138	3.102243791e-06
139	3.100094288e-06
140	3.097923496e-06
141	3.095825367e-06
142	3.093794266e-06
143	3.091506048e-06
144	3.089261602e-06
145	3.08718745e-06
146	3.084889165e-06
147	3.08263885e-06
148	3.080418407e-06
149	3.078348075e-06
150	3.07625398e-06
151	3.074205273e-06
152	3.072058272e-06
153	3.069849997e-06
154	3.067803999e-06
155	3.065502461e-06
156	3.063399142e-06
157	3.061201711e-06
158	3.059080261e-06
159	3.056809784e-06
160	3.05470136e-06
161	3.052483461e-06
162	3.050324632e-06
163	3.048074534e-06
164	3.045940587e-06
165	3.043874242e-06
166	3.041848013e-06
167	3.03974596e-06
168	3.037605547e-06
169	3.035527585e-06
170	3.033475087e-06
171	3.03137196e-06
172	3.029356046e-06
173	3.027103094e-06
174	3.024940098e-06
175	3.022912022e-06
176	3.020864258e-06
177	3.01883541e-06
178	3.016778599e-06
179	3.014859211e-06
180	3.012591745e-06
181	3.010338189e-06
182	3.008282151e-06
183	3.006285e-06
184	3.004354193e-06
185	3.002214996e-06
186	3.000091218e-06
187	2.99807502e-06
188	2.996051821e-06
189	2.99411064e-06
190	2.992024147e-06
191	2.989927514e-06
192	2.987871721e-06
193	2.985834215e-06
194	2.983776631e-06
195	2.981731793e-06
196	2.979598346e-06
197	2.977532536e-06
198	2.975507234e-06
199	2.973575845e-06
200	2.971501363e-06
201	2.969400444e-06
202	2.967429063e-06
203	2.965325253e-06
204	2.963178909e-06
205	2.961028294e-06
206	2.959110759e-06
207	2.957112617e-06
208	2.955023338e-06
209	2.952863005e-06
210	2.950742983e-06
211	2.948665888e-06
212	2.946788111e-06
213	2.944760377e-06
214	2.942625682e-06
