iter	Passed	Remaining
0	61	30550
1	61	15414
2	62	10398
3	63	7864
4	64	6344
5	64	5335
6	65	4615
7	66	4073
8	67	3655
9	67	3321
10	68	3046
11	69	2815
12	69	2618
13	70	2455
14	71	2310
15	72	2182
16	72	2069
17	73	1968
18	74	1879
19	75	1801
20	75	1725
21	76	1662
22	77	1601
23	77	1545
24	78	1494
25	79	1446
26	80	1402
27	80	1362
28	81	1323
29	82	1288
30	82	1254
31	83	1222
32	84	1194
33	84	1164
34	85	1137
35	86	1112
36	87	1088
37	87	1066
38	88	1046
39	89	1025
40	89	1007
41	90	989
42	91	971
43	92	955
44	92	938
45	93	923
46	94	909
47	95	895
48	95	881
49	96	867
50	96	853
51	97	841
52	98	828
53	98	817
54	99	807
55	100	797
56	101	789
57	102	780
58	103	770
59	103	762
60	104	753
61	105	744
62	106	735
63	106	728
64	107	720
65	108	713
66	109	705
67	109	698
68	110	690
69	111	683
70	111	675
71	112	668
72	113	662
73	113	656
74	114	650
75	115	644
76	116	638
77	117	633
78	117	627
79	118	622
80	119	616
81	120	611
82	120	605
83	121	600
84	122	596
85	122	591
86	123	587
87	124	582
88	125	577
89	125	572
90	126	567
91	127	564
92	127	559
93	128	555
94	129	550
95	129	546
96	130	542
97	131	538
98	131	534
99	132	530
100	133	526
101	134	522
102	134	520
103	135	516
104	136	512
105	137	509
106	137	506
107	138	502
108	139	499
109	139	496
110	140	492
111	141	489
112	141	485
113	142	482
114	143	479
115	143	476
116	144	473
117	145	470
118	146	468
119	146	465
120	147	463
121	148	460
122	149	457
123	150	455
124	150	452
125	151	449
126	152	447
127	152	444
128	153	442
129	154	439
130	155	437
131	155	434
132	156	432
133	157	429
134	157	426
135	158	424
136	159	421
137	159	419
138	160	417
139	161	415
140	162	413
141	162	410
142	163	408
143	164	405
144	164	403
145	165	401
146	166	399
147	167	397
148	168	395
149	168	393
150	169	391
151	170	389
152	171	387
153	171	385
154	172	383
155	173	381
156	173	379
157	174	377
158	175	375
159	175	373
160	176	371
161	177	370
162	178	368
163	178	366
164	179	364
165	180	362
166	180	360
167	181	359
168	182	357
169	183	355
170	184	354
171	184	352
172	185	350
173	185	348
174	186	346
175	187	344
176	188	343
177	188	341
178	189	339
179	190	338
180	191	336
181	191	334
182	192	333
183	193	331
184	193	330
185	194	328
186	195	326
187	196	325
188	196	323
189	197	322
190	198	320
191	198	319
192	199	317
193	200	316
194	201	314
195	201	312
196	202	311
197	203	309
198	203	308
199	204	306
200	204	304
201	205	303
202	206	301
203	207	300
204	207	299
205	208	297
206	209	296
207	209	294
208	210	293
209	211	292
210	212	290
211	212	289
212	213	287
213	214	286
214	214	284
215	215	283
216	216	281
217	216	280
218	217	279
219	218	277
220	218	276
221	219	275
222	220	273
223	221	272
224	221	271
225	222	269
226	223	268
227	223	267
228	224	265
229	225	264
230	226	263
231	226	261
232	227	260
233	228	259
234	228	258
235	229	256
236	230	255
237	230	254
238	231	252
239	232	251
240	233	250
241	233	249
242	234	248
243	235	246
244	235	245
245	236	244
246	237	243
247	238	241
248	238	240
249	239	239
250	240	238
251	240	236
252	241	235
253	242	234
254	242	233
255	243	232
256	244	231
257	245	229
258	245	228
259	246	227
260	247	226
261	248	225
262	248	224
263	249	222
264	250	221
265	250	220
266	251	219
267	252	218
268	252	217
269	253	216
270	254	214
271	255	213
272	255	212
273	256	211
274	257	210
275	257	209
276	258	208
277	259	207
278	260	206
279	260	204
280	261	203
281	262	202
282	262	201
283	263	200
284	264	199
285	265	198
286	265	197
287	266	196
288	267	195
289	268	194
290	268	193
291	269	192
292	270	191
293	271	190
294	271	188
295	272	187
296	273	186
297	273	185
298	274	184
299	275	183
300	276	182
301	276	181
302	277	180
303	278	179
304	279	178
305	279	177
306	280	176
307	281	175
308	281	174
309	282	173
310	283	172
311	283	171
312	284	170
313	285	169
314	286	167
315	286	166
316	287	165
317	288	164
318	288	163
319	289	162
320	290	161
321	290	160
322	291	159
323	292	158
324	293	157
325	293	156
326	294	155
327	295	154
328	295	153
329	296	152
330	297	151
331	298	150
332	298	149
333	299	148
334	300	147
335	301	146
336	301	145
337	302	144
338	303	143
339	303	142
340	304	141
341	304	140
342	305	139
343	306	138
344	307	137
345	307	137
346	308	136
347	309	135
348	310	134
349	310	133
350	311	132
351	312	131
352	313	130
353	313	129
354	314	128
355	315	127
356	316	126
357	316	125
358	317	124
359	318	123
360	318	122
361	319	121
362	320	120
363	321	119
364	321	118
365	322	118
366	323	117
367	323	116
368	324	115
369	325	114
370	325	113
371	326	112
372	327	111
373	328	110
374	328	109
375	329	108
376	330	107
377	330	106
378	331	105
379	332	104
380	332	103
381	333	103
382	334	102
383	334	101
384	335	100
385	336	99
386	337	98
387	337	97
388	338	96
389	339	95
390	340	94
391	340	93
392	341	92
393	342	92
394	342	91
395	343	90
396	344	89
397	345	88
398	345	87
399	346	86
400	347	85
401	347	84
402	348	83
403	349	83
404	350	82
405	351	81
406	351	80
407	352	79
408	353	78
409	353	77
410	354	76
411	355	75
412	356	75
413	356	74
414	357	73
415	358	72
416	358	71
417	359	70
418	360	69
419	360	68
420	361	67
421	362	67
422	363	66
423	363	65
424	364	64
425	365	63
426	366	62
427	366	61
428	367	60
429	368	59
430	369	59
431	369	58
432	370	57
433	371	56
434	372	55
435	372	54
436	373	53
437	374	52
438	374	52
439	375	51
440	375	50
441	376	49
442	377	48
443	377	47
444	378	46
445	379	45
446	380	45
447	380	44
448	381	43
449	382	42
450	383	41
451	383	40
452	384	39
453	385	39
454	385	38
455	386	37
456	387	36
457	387	35
458	388	34
459	389	33
460	389	32
461	390	32
462	391	31
463	391	30
464	392	29
465	393	28
466	394	27
467	394	26
468	395	26
469	396	25
470	397	24
471	397	23
472	398	22
473	399	21
474	399	21
475	400	20
476	401	19
477	401	18
478	402	17
479	403	16
480	404	15
481	404	15
482	405	14
483	406	13
484	407	12
485	407	11
486	408	10
487	409	10
488	409	9
489	410	8
490	411	7
491	411	6
492	412	5
493	413	5
494	413	4
495	414	3
496	415	2
497	416	1
498	416	0
499	417	0
